,number,title,subtitle,authors,publisher,published_date,category,distribution_expense
1,9783319688374,Essentials of Business Analytics,An Introduction to the Methodology and its Applications,"Bhimasankaram Pochiraju, Sridhar Seshadri",Springer,2019-10-07,Business Analytics,4.55
2,9781466596092,Business Analytics,An Introduction,Jay Liebowitz,CRC Press,2013-12-19,Business Analytics,5.6
3,1292017430,Key Business Analytics,The 60+ Business Analysis Tools Every Manager Needs to Know,Bernard Marr,FT Press,2016-01-18,Business Analytics,4.22
4,9781119298588,Business Analytics for Managers,Taking Business Intelligence Beyond Reporting,"Gert H. N. Laursen, Jesper Thorlund",John Wiley & Sons,2016-07-11,Business Analytics,3.19
5,9781118572153,Data Mining and Business Analytics with R,,Johannes Ledolter,John Wiley & Sons,2013-05-28,Business Analytics,6.9
6,71807594,A PRACTITIONER'S GUIDE TO BUSINESS ANALYTICS: Using Data Analysis Tools to Improve Your Organization’s Decision Making and Strategy,,Randy Bartlett,McGraw-Hill Education,2013-05-02,Business Analytics,7.3
7,9783030870232,Business Analytics,Data Science for Business Problems,Walter R. Paczkowski,Springer Nature,2022-03-01,Business Analytics,4.55
8,9781484210017,Learn Business Analytics in Six Steps Using SAS and R,"A Practical, Step-by-Step Guide to Learning Business Analytics",Subhashini Sharma Tripathi,Apress,2016-12-19,Business Analytics,5.6
9,9781337225274,Business Analytics: Data Analysis & Decision Making,,"S. Christian Albright, Wayne L. Winston",Cengage Learning,2016-03-31,Business Analytics,4.22
10,1461404053,Business Analytics for Managers,,Wolfgang Jank,Springer,2011-10-08,Business Analytics,3.19
11,9781461443421,R for Business Analytics,,A Ohri,Springer Science & Business Media,2012-09-14,Business Analytics,6.9
12,9781119549840,Data Mining for Business Analytics,"Concepts, Techniques and Applications in Python","Galit Shmueli, Peter C. Bruce, Peter Gedeck, Nitin R. Patel",John Wiley & Sons,2019-05-11,Business Analytics,7.3
13,9781352007251,Business Analytics,A Management Approach,"Richard Vidgen, Sam Kirshner, Felix Tan",Red Globe Press,2019-09-10,Business Analytics,4.55
14,9781484205990,Interview Questions in Business Analytics,,Bhasker Gupta,Apress,2016-04-08,Business Analytics,5.6
15,9781484200438,Practical Business Analytics Using SAS,A Hands-on Guide,"Shailendra Kadre, Venkat Reddy Konasani",Apress,2015-07-02,Business Analytics,4.22
16,1133629601,Business Analytics: Data Analysis & Decision Making,,"S. Christian Albright, Wayne L. Winston",Cengage Learning,2014-02-28,Business Analytics,3.19
17,1484225139,Business Analytics Using R - A Practical Approach,,"Umesh Hodeghatta Rao, Umesh Nayak",Apress,2017-05-02,Business Analytics,6.9
18,9789082017939,An Introduction to Business Analytics,,Ger Koole,Lulu.com,2019-03-13,Business Analytics,7.3
19,9781461460800,Business Analytics,A Practitioner’s Guide,"Rahul Saxena, Anand Srinivasan",Springer Science & Business Media,2012-05-12,Business Analytics,4.55
20,9781118729274,Data Mining for Business Analytics,"Concepts, Techniques, and Applications with XLMiner","Galit Shmueli, Peter C. Bruce, Nitin R. Patel",John Wiley & Sons,2016-04-18,Business Analytics,5.6
21,1305627733,Essentials of Business Analytics,,"Jeffrey D. Camm, James J. Cochran, Michael J. Fry, Jeffrey W. Ohlmann, David R. Anderson",Cengage Learning,2016-03-24,Business Analytics,4.22
22,9781119286554,Profit Driven Business Analytics,A Practitioner's Guide to Transforming Big Data into Added Value,"Wouter Verbeke, Bart Baesens, Cristian Bravo",John Wiley & Sons,2017-09-10,Business Analytics,3.19
23,9780071807609,A PRACTITIONER'S GUIDE TO BUSINESS ANALYTICS: Using Data Analysis Tools to Improve Your Organization’s Decision Making and Strategy,,Randy Bartlett,McGraw Hill Professional,2013-01-25,Business Analytics,6.9
24,9781118417089,Win with Advanced Business Analytics,Creating Business Value from Your Data,"Jean-Paul Isson, Jesse Harriott",John Wiley & Sons,2012-09-25,Business Analytics,7.3
25,9781439890707,Computational Business Analytics,,Subrata Das,CRC Press,2013-12-14,Business Analytics,4.55
26,1337406422,Business Analytics,,"Jeffrey D. Camm, James J. Cochran, Michael J. Fry, Jeffrey W. Ohlmann, David R. Anderson",Cengage Learning,2018-08-03,Business Analytics,5.6
27,9780133552249,"Business Analytics Principles, Concepts, and Applications","What, Why, and How","Marc J. Schniederjans, Dara G. Schniederjans, Christopher M. Starkey",Pearson Education,2014-04-23,Business Analytics,4.22
28,9780470000000,Business Analytics for Managers,Taking Business Intelligence Beyond Reporting,"Gert Laursen, Jesper Thorlund",John Wiley & Sons,2010-07-13,Business Analytics,3.19
29,9781650000000,A Primer on Business Analytics,Perspectives from the Financial Services Industry,Yudhvir Seetharam,IAP,2022-01-01,Business Analytics,6.9
30,9781120000000,Machine Learning for Business Analytics,"Concepts, Techniques and Applications in RapidMiner","Galit Shmueli, Peter C. Bruce, Amit V. Deokar, Nitin R. Patel",John Wiley & Sons,2023-03-14,Business Analytics,7.3
31,9780130000000,Applied Business Analytics,"Integrating Business Process, Big Data, and Advanced Analytics",Nathaniel Lin,FT Press,2014-12-12,Business Analytics,4.55
32,9781320000000,Business Analytics,,Dinabandhu Bag,Routledge,2016-10-11,Business Analytics,5.6
33,9781480000000,RapidMiner,Data Mining Use Cases and Business Analytics Applications,"Markus Hofmann, Ralf Klinkenberg",CRC Press,2013-10-25,Business Analytics,4.22
34,9781120000000,Predictive Business Analytics,Forward Looking Capabilities to Improve Business Performance,"Lawrence Maisel, Gary Cokins",John Wiley & Sons,2013-09-26,Business Analytics,3.19
35,9781440000000,Getting Started with Business Analytics,Insightful Decision-Making,"David Roi Hardoon, Galit Shmueli",CRC Press,2013-03-26,Business Analytics,6.9
36,3319358405,Advanced Business Analytics,,"Fausto Pedro García Márquez, Benjamin Lev",Springer,2016-06-10,Business Analytics,7.3
37,9781340000000,Essentials of Business Analytics,,"Jeffrey D. Camm, James J. Cochran, Michael J. Fry, Jeffrey W. Ohlmann, David R. Anderson",Cengage Learning,2016-03-24,Business Analytics,4.55
38,9780130000000,Business Analytics with Management Science Models and Methods,,Arben Asllani,FT Press,2014-11-17,Business Analytics,5.6
39,321997824,Business Analytics,"Methods, Models, and Decisions",James R. Evans,Pearson College Division,2014-12-30,Business Analytics,4.22
40,9781320000000,Sport Business Analytics,Using Data to Increase Revenue and Improve Operational Efficiency,"C. Keith Harrison, Scott Bukstein",CRC Press,2016-11-18,Business Analytics,3.19
41,9353287103,Business Analytics,Text and Cases,"Tanushri Banerjee, Arindam Banerjee",SAGE Publications Pvt. Limited,2019-12-15,Business Analytics,6.9
42,9781120000000,The Value of Business Analytics,Identifying the Path to Profitability,Evan Stubbs,John Wiley & Sons,2011-07-26,Business Analytics,7.3
43,9780357131787,Business Analytics,,"Jeffrey D. Camm, James J. Cochran, Michael J. Fry, Jeffrey W. Ohlmann",Cengage AU,2020-10-03,Business Analytics,4.55
44,9781800438842,Applications of Big Data and Business Analytics in Management,,"Sneha Kumari, K. K. Tripathy, Vidya Kumbhar",Emerald Group Publishing,2020-04-12,Business Analytics,5.6
45,9781118510582,Business Analysis For Dummies,,"Kupe Kupersmith, Paul Mulvey, Kate McGoey",John Wiley & Sons,2013-07-22,Business Analytics,4.22
46,9781118217801,"Healthcare Business Intelligence, + Website",A Guide to Empowering Successful Data Reporting and Analytics,Laura Madsen,John Wiley & Sons,2012-04-09,Business Analytics,3.19
47,9780320000000,Introduction to Business Analytics Using Simulation,,Jonathan P. Pinder,Academic Press,2022-06-02,Business Analytics,6.9
48,9783319727455,Recent Developments in Data Science and Business Analytics,Proceedings of the International Conference on Data Science and Business Analytics (ICDSBA- 2017),"Madjid Tavana, Srikanta Patnaik",Springer,2018-03-27,Business Analytics,7.3
49,9781953349750,"Introduction to Business Analytics, Second Edition",,"Marguerite L. Johnson, David L. Olson, Wesley S. Boyce",Business Expert Press,2020-12-14,Business Analytics,4.55
50,9781320000000,A User's Guide to Business Analytics,,"Ayanendranath Basu, Srabashi Basu",CRC Press,2016-08-19,Business Analytics,5.6
51,9781466565791,Big Data and Business Analytics,,Jay Liebowitz,CRC Press,2016-04-19,Business Analytics,4.22
52,9781120000000,Delivering Business Analytics,Practical Guidelines for Best Practice,Evan Stubbs,John Wiley & Sons,2013-01-30,Business Analytics,3.19
53,9780130000000,"Business Analytics Principles, Concepts, and Applications with SAS","What, Why, and How","Marc J. Schniederjans, Dara G. Schniederjans, Christopher M. Starkey",Pearson Education,2014-12-09,Business Analytics,6.9
54,1292009209,Business Intelligence and Analytics,"Systems for Decision Support, Global Edition","Ramesh Sharda, Efraim Turban, Dursun Delen",Pearson,2014-02-28,Business Analytics,7.3
55,148421384X,SAP Business Analytics,,Sudipa Dutta Roy,Apress,2017-01-02,Business Analytics,4.55
56,9798600000000,Business Analytics for Beginners and Dummies,A Managerial Perspective on Business Intelligence and Data Science,Lisa H Gregory Ph D,Independently Published,2021-01-18,Business Analytics,5.6
57,9781290000000,Key Business Analytics,The 60+ Business Analysis Tools Every Manager Needs To Know,Bernard Marr,Pearson UK,2016-10-02,Business Analytics,4.22
58,9781500000000,Managerial Decision Modeling,"Business Analytics with Spreadsheets, Fourth Edition","Nagraj (Raju) Balakrishnan, Barry Render, Ralph Stair, Charles Munson",Walter de Gruyter GmbH & Co KG,2017-07-08,Business Analytics,3.19
59,9781120000000,"Big Data, Big Analytics",Emerging Business Intelligence and Analytic Trends for Today's Businesses,"Michael Minelli, Michele Chambers, Ambiga Dhiraj",John Wiley & Sons,2013-01-22,Business Analytics,6.9
60,9788120348196,BUSINESS ANALYTICS,An application focus,PURBA HALADY RAO,PHI Learning Pvt. Ltd.,2013-07-29,Business Analytics,7.3
61,9780130000000,Business Intelligence Strategy and Big Data Analytics,A General Management Perspective,Steve Williams,Morgan Kaufmann,2016-08-04,Business Analytics,4.55
62,9781520000000,Business Analytics and Cyber Security Management in Organizations,,"Rajagopal, Behl, Ramesh",IGI Global,2016-11-17,Business Analytics,5.6
63,9789810000000,Strategic System Assurance and Business Analytics,,"P. K. Kapur, Ompal Singh, Sunil Kumar Khatri, Ajit Kumar Verma",Springer Nature,2020-06-19,Business Analytics,4.22
64,9781320000000,Business Analytics for Decision Making,,"Steven Orla Kimbrough, Hoong Chuin Lau",CRC Press,2018-03-09,Business Analytics,3.19
65,9781470000000,Encyclopedia of Business Analytics and Optimization,,"Wang, John",IGI Global,2014-02-28,Business Analytics,6.9
66,9811346143,Understanding the Role of Business Analytics,Some Applications,"Hardeep Chahal, Jeevan Jyoti, Jochen Wirtz",Springer,2019-10-20,Business Analytics,7.3
67,9781480000000,SAP Business Analytics,A Best Practices Guide for Implementing Business Analytics Using SAP,Sudipa DuttaRoy,Apress,2016-12-11,Business Analytics,4.55
68,9781120000000,Predictive Business Analytics,Forward Looking Capabilities to Improve Business Performance,"Lawrence Maisel, Gary Cokins",John Wiley & Sons,2013-07-10,Business Analytics,5.6
69,9811385777,"Computational Intelligence, Communications, and Business Analytics","Second International Conference, CICBA 2018, Kalyani, India, July 27–28, 2018, Revised Selected Papers","Jyotsna Kumar Mandal, Somnath Mukhopadhyay, Paramartha Dutta, Kousik Dasgupta",Springer,2019-06-25,Business Analytics,4.22
70,9781480000000,Business Analytics Using R - A Practical Approach,,"Umesh R Hodeghatta, Umesha Nayak",Apress,2016-12-27,Business Analytics,3.19
71,1138416517,Customer and Business Analytics,Applied Data Mining for Business Decision Making Using R,Daniel S. Putler,CRC Press,2017-03-07,Business Analytics,6.9
72,9781480000000,Big Data and Business Analytics,,Jay Liebowitz,CRC Press,2013-06-13,Business Analytics,7.3
73,9780130000000,The Complete Guide to Business Analytics (Collection),,"Thomas H. Davenport, Babette E. Bensoussan, Craig S. Fleisher",FT Press,2012-10-14,Business Analytics,4.55
74,9781440000000,Getting Started with Business Analytics,Insightful Decision-Making,"David Roi Hardoon, Galit Shmueli",CRC Press,2013-03-26,Business Analytics,5.6
75,9781500000000,Customer and Business Analytics,Applied Data Mining for Business Decision Making Using R,"Daniel S. Putler, Robert E. Krider",CRC Press,2015-09-15,Business Analytics,4.22
76,9788200000000,Business Analytics and Intelligence in Digital Era,,"Dr K. Kumuthadevi , Dr G Vengatesan, Dr Niraj Kumar",Alborear (OPC) Pvt. Ltd.,2022-12-30,Business Analytics,3.19
77,1606491865,Business Intelligence,Making Decisions Through Data Analytics,Jerzy Surma,Business Expert Press,2011-06-03,Business Analytics,6.9
78,1493942395,R for Business Analytics,,Ajay Ohri,Springer,2016-01-05,Business Analytics,7.3
79,9783030000000,Business and Consumer Analytics: New Ideas,,"Pablo Moscato, Natalie Jane de Vries",Springer,2019-05-30,Business Analytics,4.55
80,9783030000000,Computational Intelligence for Business Analytics,,"Witold Pedrycz, Luis Martínez, Rafael Alejandro Espin-Andrade, Gilberto Rivera, Jorge Marx Gómez",Springer Nature,2021-10-26,Business Analytics,5.6
81,9781490000000,Applied Sport Business Analytics,,"Christopher Atwater, Robert E. Baker, Ted Kwartler",Human Kinetics,2022-03-17,Business Analytics,4.22
82,9780120000000,Business Intelligence,The Savvy Manager's Guide,David Loshin,Newnes,2012-10-17,Business Analytics,3.19
83,9781120000000,Business Analytics for Sales and Marketing Managers,How to Compete in the Information Age,Gert H. N. Laursen,John Wiley & Sons,2011-03-16,Business Analytics,6.9
84,9811385807,"Computational Intelligence, Communications, and Business Analytics","Second International Conference, CICBA 2018, Kalyani, India, July 27–28, 2018, Revised Selected Papers","Jyotsna Kumar Mandal, Somnath Mukhopadhyay, Paramartha Dutta, Kousik Dasgupta",Springer,2019-06-26,Business Analytics,7.3
85,128091983,Business Intelligence Strategy and Big Data Analytics,A General Management Perspective,Steve Williams,Morgan Kaufmann,2016-05-15,Business Analytics,4.55
86,1780174284,Business Analyst,Careers in Business Analysis,Adrian Reed,"BCS, The Chartered Institute for IT",2018-07-18,Business Analytics,5.6
87,9781450000000,Data Science for Business,What You Need to Know about Data Mining and Data-Analytic Thinking,"Foster Provost, Tom Fawcett","""O'Reilly Media, Inc.""",2013-07-27,Business Analytics,4.22
88,9789810000000,Understanding the Role of Business Analytics,Some Applications,"Hardeep Chahal, Jeevan Jyoti, Jochen Wirtz",Springer,2018-09-14,Business Analytics,3.19
89,9781800000000,Handbook of Research on Foundations and Applications of Intelligent Business Analytics,,"Sun, Zhaohao, Wu, Zhiyou",IGI Global,2022-11-03,Business Analytics,6.9
90,80467768,The Profit Impact of Business Intelligence,,"Steve Williams, Nancy Williams",Elsevier,2010-07-27,Business Analytics,7.3
91,9781120000000,Business Analysis,Best Practices for Success,Steven P. Blais,John Wiley & Sons,2011-08-11,Business Analytics,4.55
92,9781000000000,Statistical Modelling and Sports Business Analytics,,"Vanessa Ratten, Ted Hayduk",Routledge,2020-11-05,Business Analytics,5.6
93,9783030000000,Computational Intelligence in Communications and Business Analytics,"Third International Conference, CICBA 2021, Santiniketan, India, January 7–8, 2021, Revised Selected Papers","Paramartha Dutta, Jyotsna K. Mandal, Somnath Mukhopadhyay",Springer Nature,2021-05-25,Business Analytics,4.22
94,9781140000000,Business Analytics,A Contemporary Approach,"Thomas W. Jackson, Steven Lockwood",Bloomsbury Publishing,2018-09-21,Business Analytics,3.19
95,9781140000000,Stats Means Business,"Statistics and Business Analytics for Business, Hospitality and Tourism","John Buglear, Adrian Castell",Taylor & Francis,2012-04-27,Business Analytics,6.9
96,9783640000000,Video Analytics for Business Intelligence,,"Caifeng Shan, Fatih Porikli, Tao Xiang, Shaogang Gong",Springer Science & Business Media,2012-07-04,Business Analytics,7.3
97,9781120000000,"Big Data, Big Innovation",Enabling Competitive Differentiation through Business Analytics,Evan Stubbs,John Wiley & Sons,2014-07-21,Business Analytics,4.55
98,9780120000000,Business Intelligence Guidebook,From Data Integration to Analytics,Rick Sherman,Newnes,2014-04-11,Business Analytics,5.6
99,1484213122,Disruptive Analytics,Charting Your Strategy for Next-Generation Business Analytics,Thomas W. Dinsmore,Apress,2016-08-28,Business Analytics,5.6
100,9781120000000,Profit Driven Business Analytics,A Practitioner's Guide to Transforming Big Data into Added Value,"Wouter Verbeke, Bart Baesens, Cristian Bravo",John Wiley & Sons,2017-09-22,Business Analytics,4.55
101,9781800000000,"Integration Challenges for Analytics, Business Intelligence, and Data Mining",,"Azevedo, Ana, Santos, Manuel Filipe",IGI Global,2020-11-12,Business Analytics,5.6
102,1285418689,Spreadsheet Modeling and Decision Analysis: A Practical Introduction to Business Analytics,,Cliff Ragsdale,Cengage Learning,2014-02-28,Business Analytics,4.22
103,9783320000000,Aligning Business Strategies and Analytics,Bridging Between Theory and Practice,"Murugan Anandarajan, Teresa D. Harrison",Springer,2018-09-27,Business Analytics,3.19
104,9781350000000,Mathematical Modeling for Business Analytics,,William P. Fox,CRC Press,2017-12-15,Business Analytics,6.9
105,9780130000000,The Applied Business Analytics Casebook,"Applications in Supply Chain Management, Operations Management, and Operations Research",Matthew J. Drake,FT Press,2013-09-10,Business Analytics,7.3
106,9783320000000,Enterprise Resource Planning and Business Intelligence Systems for Information Quality,An Empirical Analysis in the Italian Setting,"Carlo Caserio, Sara Trucco",Springer,2018-04-13,Business Analytics,4.55
107,9781000000000,Machine Learning for Business Analytics,Real-Time Data Analysis for Decision-Making,"Hemachandran K, Sayantan Khanra, Raul V. Rodriguez, Juan Jaramillo",CRC Press,2022-07-21,Business Analytics,5.6
108,470768487,Dealing with Dilemmas,Where Business Analytics Fall Short,Frank Buytendijk,John Wiley & Sons,2010-07-23,Business Analytics,4.22
109,9781520000000,Applying Business Intelligence Initiatives in Healthcare and Organizational Settings,,"Miah, Shah J., Yeoh, William",IGI Global,2018-07-13,Business Analytics,3.19
110,130594741X,Spreadsheet Modeling & Decision Analysis: A Practical Introduction to Business Analytics,,Cliff Ragsdale,Cengage Learning,2016-05-12,Business Analytics,6.9
111,9781370000000,Business Analytics: Step-by-Step Tutorial,,Narcyz Roztocki,Lulu.com,2016-05-11,Business Analytics,7.3
112,012411461X,Business Intelligence Guidebook,From Data Integration to Analytics,Rick Sherman,Morgan Kaufmann,2014-07-11,Business Analytics,4.55
113,9780810000000,Behind Every Good Decision,How Anyone Can Use Business Analytics to Turn Data into Profitable Insight,"Piyanka Jain, Puneet Sharma",AMACOM,2014-05-11,Business Analytics,5.6
114,9780130000000,"Business Analytics Principles, Concepts, and Applications with SAS","What, Why, and How","Marc J. Schniederjans, Dara G. Schniederjans, Christopher M. Starkey",Pearson Education,2014-07-10,Business Analytics,4.22
115,9781110000000,"Data Analysis for Business, Economics, and Policy",,"Gábor Békés, Gábor Kézdi",Cambridge University Press,2021-06-05,Business Analytics,3.19
116,9780070000000,"Successful Business Intelligence, Second Edition",Unlock the Value of BI & Big Data,Cindi Howson,McGraw Hill Professional,2013-05-11,Business Analytics,6.9
117,367426927,Statistical Modelling and Sports Business Analytics,,"Vanessa Ratten, Ted Hayduk",Routledge,2020-05-29,Business Analytics,7.3
118,9780750000000,Practical Text Analytics,Interpreting Text and Unstructured Data for Business Intelligence,Steven Struhl,Kogan Page Publishers,2015-03-07,Business Analytics,4.55
119,9813149299,Business Analytics,Progress on Applications in Asia Pacific,Jorge L. C. Sanz,World Scientific Publishing Company,2016-09-29,Business Analytics,5.6
120,9783030000000,"Digital Economy, Business Analytics, and Big Data Analytics Applications",,Saad G. Yaseen,Springer Nature,2022-10-28,Business Analytics,4.22
121,3658375981,Artificial Intelligence for Business Analytics,"Algorithms, Platforms and Application Scenarios",Felix Weber,Springer Vieweg,2023-01-26,Business Analytics,3.19
122,9780130000000,The Best Thinking in Business Analytics from the Decision Sciences Institute,,"Decision Sciences Institute, Merrill Warkentin",FT Press,2015-08-18,Business Analytics,6.9
123,9783320000000,Metaheuristics for Business Analytics,A Decision Modeling Approach,"Abraham Duarte, Manuel Laguna, Rafael Marti",Springer,2017-11-24,Business Analytics,7.3
124,1641720883,Business Analytics,"Principles, Concepts and Applications",Drew Bentley,Larsen and Keller Education,2019-06-26,Business Analytics,4.55
125,146659165X,A Users Guide to Business Analytics,,"Ayanendranath Basu, Srabashi Basu",Chapman and Hall/CRC,2016-03-15,Business Analytics,5.6
126,9780470000000,Business Intelligence For Dummies,,Swain Scheps,John Wiley & Sons,2008-10-01,Business Analytics,4.22
127,9780470000000,Knight's Microsoft Business Intelligence 24-Hour Trainer,,"Brian Knight, Devin Knight, Adam Jorgensen, Patrick LeBlanc, Mike Davis",John Wiley & Sons,2010-09-27,Business Analytics,3.19
128,9781520000000,Machine Learning Techniques for Improved Business Analytics,,"G., Dileep Kumar",IGI Global,2018-06-07,Business Analytics,6.9
129,9781120000000,Machine Learning for Business Analytics,"Concepts, Techniques, and Applications in R","Galit Shmueli, Peter C. Bruce, Peter Gedeck, Inbal Yahav Shenberger, Nitin R. Patel",John Wiley & Sons,2023-03-28,Business Analytics,7.3
130,9780130000000,Prescriptive Analytics,The Final Frontier for Evidence-Based Management and Optimal Decision Making,Dursun Delen,FT Press,2019-06-28,Business Analytics,4.55
131,1484287533,Practical Business Analytics Using R and Python,Solve Business Problems Using a Data-driven Approach,"Umesh R. Hodeghatta, Umesha Nayak",Apress,2023-01-27,Business Analytics,5.6
132,9780470000000,Business Intelligence,"Practices, Technologies, and Management","Rajiv Sabherwal, Irma Becerra-Fernandez",John Wiley & Sons,2013-02-19,Business Analytics,4.22
133,9781840000000,Handbook of Big Data Analytics,"Applications in ICT, Security and Business Analytics, Volume 2","Vadlamani Ravi, Aswani Kumar Cherukuri",IET,2021-09-07,Business Analytics,3.19
134,1974011364,Business Analytics Complete Self-assessment Guide,,Gerardus Blokdyk,Createspace Independent Publishing Platform,2017-07-28,Business Analytics,6.9
135,1774634198,Computing Predictive Analytics Business Intelligence and Economics,,Cyrus F. Nourani,Apple Academic Press,2021-03-31,Business Analytics,7.3
136,9780740000000,Complete Analytics with IBM DB2 Query Management Facility: Accelerating Well-Informed Decisions Across the Enterprise,,"Kristi Ramey, Mike Biere, Peter Richardson, Shawn Sullivan, Jeremy Weatherall, IBM Redbooks",IBM Redbooks,2012-08-20,Business Analytics,4.55
137,9781630000000,A Guide to the Project Management Body of Knowledge (PMBOK® Guide) – Seventh Edition and The Standard for Project Management (BRAZILIAN PORTUGUESE),,Project Management Institute Project Management Institute,Project Management Institute,2021-01-08,Business Analytics,5.6
138,9789390000000,Data Science Fundamentals and Practical Approaches,,"Nandi Dr. Rupam Dr. Gypsy, Kumar Sharma",BPB Publications,2020-03-09,Business Analytics,4.55
139,9783030000000,Computational Intelligence in Communications and Business Analytics,"4th International Conference, CICBA 2022, Silchar, India, January 7–8, 2022, Revised Selected Papers","Somnath Mukhopadhyay, Sunita Sarkar, Paramartha Dutta, Jyotsna Kumar Mandal, Sudipta Roy",Springer Nature,2022-07-21,Business Analytics,5.6
140,134072952,The Best Thinking in Business Analytics from the Decision Sciences Institute,,"Decision Sciences Institute, Merrill Warkentin",Ft Press,2015-01-09,Business Analytics,4.22
141,9780750000000,Data Strategy,"How to Profit from a World of Big Data, Analytics and the Internet of Things",Bernard Marr,Kogan Page Publishers,2017-03-04,Business Analytics,3.19
142,9781420000000,Competing on Analytics,The New Science of Winning,"Thomas H. Davenport, Jeanne G. Harris",Harvard Business Press,2007-06-03,Business Analytics,6.9
143,3030755282,Computational Intelligence in Communications and Business Analytics,"Third International Conference, CICBA 2021, Santiniketan, India, January 7–8, 2021, Revised Selected Papers","Paramartha Dutta, Jyotsna K. Mandal, Somnath Mukhopadhyay",Springer,2021-05-26,Business Analytics,7.3
144,9781520000000,"Operations and Service Management: Concepts, Methodologies, Tools, and Applications","Concepts, Methodologies, Tools, and Applications","Management Association, Information Resources",IGI Global,2017-11-30,Business Analytics,4.55
145,3540228063,Enterprise Management with SAP SEM™/ Business Analytics,,"Marco Meier, Werner Sinzig, Peter Mertens",Springer Science & Business Media,2005-02-14,Business Analytics,5.6
146,9780470000000,Oracle Data Warehousing and Business Intelligence Solutions,,"Robert Stackowiak, Joseph Rayman, Rick Greenwald",John Wiley & Sons,2007-06-01,Business Analytics,4.22
147,9783030000000,The Effect of Coronavirus Disease (COVID-19) on Business Intelligence,,"M.T. Alshurideh, Aboul Ella Hassanien, Ra’ed Masa’deh",Springer Nature,2021-02-04,Business Analytics,3.19
148,9781000000000,Artificial Intelligence and Computing Logic,Cognitive Technology for AI Business Analytics,Cyrus F. Nourani,CRC Press,2021-12-23,Business Analytics,6.9
149,9780470000000,Data Mining for Business Intelligence,"Concepts, Techniques, and Applications in Microsoft Office Excel with XLMiner","Galit Shmueli, Nitin R. Patel, Peter C. Bruce",John Wiley & Sons,2006-11-12,Business Analytics,7.3
150,9781290000000,"Business Analytics, eBook, Global Edition",,James R. Evans,Pearson Higher Ed,2016-12-01,Business Analytics,4.55
151,9783320000000,Strategic Engineering for Cloud Computing and Big Data Analytics,,"Amin Hosseinian-Far, Muthu Ramachandran, Dilshad Sarwar",Springer,2017-02-13,Business Analytics,5.6
152,1482221764,Introduction to Business Analytics,,"Steven Orla Kimbrough, Lau Hoong Chuin",Chapman and Hall/CRC,2016-01-15,Business Analytics,4.22
153,1800438850,Applications of Big Data and Business Analytics in Management,,"Sneha Kumari, K. K. Tripathy, Vidya Kumbhar",Emerald Publishing Limited,2020-04-12,Business Analytics,3.19
154,9781350000000,Mathematical Modeling for Business Analytics,,William P. Fox,CRC Press,2017-12-15,Business Analytics,6.9
155,1583473432,5 Keys to Business Analytics Program Success,,"John Boyer, Bill Frank, Brian Green, Tracy Harris, Kay Van De Vanter",Mc PressLlc,2012-11-15,Business Analytics,7.3
156,9781630000000,The Analytical Puzzle,"Data Warehousing, Business Intelligence and Analytics",David Haertzen,Technics Publications,2012-01-07,Business Analytics,4.55
157,9789810000000,"Computational Intelligence, Communications, and Business Analytics","First International Conference, CICBA 2017, Kolkata, India, March 24 – 25, 2017, Revised Selected Papers, Part II","J. K. Mandal, Paramartha Dutta, Somnath Mukhopadhyay",Springer,2017-01-10,Business Analytics,5.6
158,9813366583,Applied Advanced Analytics,"6th IIMA International Conference on Advanced Data Analysis, Business Analytics and Intelligence",Arnab Kumar Laha,Springer,2022-10-06,Business Analytics,4.22
159,999064908,Principles of Business Forecasting--2nd Ed,,"Keith Ord, Professor of Decision Sciences Keith Ord, Robert Fildes, Nikos Kourentzes","Wessex, Incorporated",2017-08-15,Business Analytics,3.19
160,1118102010,SharePoint 2010 Business Intelligence 24-Hour Trainer,,"Adam Jorgensen, Mark Stacey, Devin Knight, Patrick LeBlanc, Brad Schacht",John Wiley & Sons,2011-05-12,Business Analytics,6.9
161,9781630000000,Perspectives on Business Intelligence,,"Raymond T. Ng, Patricia C. Arocena, Denilson Barbosa, Giuseppe Carenini",Morgan & Claypool Publishers,2013-01-04,Business Analytics,7.3
162,1529796113,Business Analytics,"Combining Data, Analysis and Judgement to Inform Decisions",Mary Ellen Gordon,Sage Publications Limited,2023-08-07,Business Analytics,4.55
163,9781120000000,The Kimball Group Reader,Relentlessly Practical Tools for Data Warehousing and Business Intelligence Remastered Collection,"Ralph Kimball, Margy Ross",John Wiley & Sons,2015-12-30,Business Analytics,5.6
164,9781490000000,Practical Tableau,"100 Tips, Tutorials, and Strategies from a Tableau Zen Master",Ryan Sleeper,"""O'Reilly Media, Inc.""",2018-03-04,Business Analytics,4.22
165,1292039736,Business Analytics,Pearson New International Edition,James R. Evans,Pearson,2013-01-08,Business Analytics,3.19
166,9781290000000,Business Analytics: Pearson New International Edition,,James R. Evans,Pearson Higher Ed,2013-03-10,Business Analytics,6.9
167,9781440000000,Business Analysis for Business Intelligence,,Bert Brijs,CRC Press,2016-04-19,Business Analytics,7.3
168,1508607494,Misqe Special Theme Book,Business Analytics,Mis Executive,CreateSpace,2015-04-30,Business Analytics,4.55
169,9781120000000,Big Data MBA,Driving Business Strategies with Data Science,Bill Schmarzo,John Wiley & Sons,2015-11-12,Business Analytics,5.6
